"symbol","uniprot","ensembl","entrez","name"
"RPL14","P50914","ENSG00000188846",9045,NA
"RPL21","P46778","ENSG00000122026",6144,NA
"RPL24","P83731","ENSG00000114391",6152,NA
"RPL32","P62910","ENSG00000144713",6161,NA
"RPL7","P18124","ENSG00000147604",6129,NA
"RPL8","P62917","ENSG00000161016",6132,NA
"RPS12","P25398","ENSG00000112306",6206,NA
"SAAL1","Q96ER3","ENSG00000166788",113174,NA
"SLC25A3","Q00325","ENSG00000075415",5250,NA
"SPTAN1","Q13813","ENSG00000197694",6709,NA
"THADA","Q6YHU6","ENSG00000115970",63892,NA
"TMOD2","Q9NZR1","ENSG00000128872",29767,NA
"TOP2A","P11388","ENSG00000131747",7153,NA
"TPI1","P60174","ENSG00000111669",7167,NA
"UBR4","Q5T4S7","ENSG00000127481",23352,NA
"XPO1","O14980","ENSG00000082898",7514,NA
"XPOT","O43592","ENSG00000184575",11260,NA
"CCDC80","Q76M96","ENSG00000091986",151887,NA
